Cont. No,Deal Date ,Date,Counterpart,Curr,Amount,Price,Type,Settlement Date, Curr,,Brokg. ,Trader Type,Maturity- Days,Maturity Months
 210405001,05/04/2021,Apr,INDIAN BANK-MUMBAI,USD,5000000 ,73.33500 ,OUTRIGHT,07/04/2021,INR,Y,"4,000.00 ",Seller,2.00,0
 210405002,05/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,25000000 ,73.42000 ,LONG SWAP,07/04/2021,INR,N,"12,500.00 ",Seller,2.00,0
 210405003,05/04/2021,Apr,KOTAK MAHINDRA BANK LTD.-MUMBAI,USD,25000000 ,73.49400 ,,15/04/2021,INR,N,<Default Format>,Seller,10.00,0
 210405004,05/04/2021,Apr,STATE BANK OF INDIA-MUMBAI,USD,30000000 ,73.34500 ,LONG SWAP,07/04/2021,INR,Y,"13,500.00 ",Seller,2.00,0
 210405005,05/04/2021,Apr,BANK OF INDIA-MUMBAI,USD,30000000 ,73.62500 ,LONG SWAP,07/05/2021,INR,Y,"7,500.00 ",Seller,32.00,1
 210406001,06/04/2021,Apr,BANK OF INDIA-MUMBAI,USD,25000000 ,73.34000 ,LONG SWAP,08/04/2021,INR,Y,"9,375.00 ",Seller,2.00,0
 210406002,06/04/2021,Apr,BANK OF BARODA-MUMBAI,USD,25000000 ,73.80500 ,LONG SWAP,28/05/2021,INR,Y,"9,375.00 ",Seller,52.00,2
 210406003,06/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,10000000 ,73.31000 ,,08/04/2021,INR,N,<Default Format>,Seller,2.00,0
 210406004,06/04/2021,Apr,BANK OF BARODA-MUMBAI,USD,10000000 ,73.78050 ,LONG SWAP,28/05/2021,INR,N,"3,750.00 ",Seller,52.00,2
 210406005,06/04/2021,Apr,UCO BANK-MUMBAI,USD,10000000 ,73.31500 ,,08/04/2021,INR,N,<Default Format>,Seller,2.00,0
 210406006,06/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,10000000 ,76.50000 ,LONG SWAP,28/02/2022,INR,N,"5,000.00 ",Seller,328.00,11
 210406007,06/04/2021,Apr,STATE BANK OF INDIA-MUMBAI,USD,25000000 ,73.31000 ,LONG SWAP,08/04/2021,INR,N,"11,250.00 ",Seller,2.00,0
 210406008,06/04/2021,Apr,HONGKONG & SHANGHAI BANKING CORPORATION-MUMBAI,USD,25000000 ,73.50500 ,,30/04/2021,INR,N,<Default Format>,Seller,24.00,1
 210406009,06/04/2021,Apr,PUNJAB NATIONAL BANK-MUMBAI,USD,25000000 ,73.76750 ,LONG SWAP,28/05/2021,INR,N,"5,000.00 ",Seller,52.00,2
 210406010,06/04/2021,Apr,HONGKONG & SHANGHAI BANKING CORPORATION-MUMBAI,USD,25000000 ,74.07750 ,,30/06/2021,INR,N,<Default Format>,Seller,85.00,3
 210406011,06/04/2021,Apr,PUNJAB NATIONAL BANK-MUMBAI,USD,20000000 ,74.12000 ,LONG SWAP,30/06/2021,INR,N,"9,000.00 ",Seller,85.00,3
 210406012,06/04/2021,Apr,JPMORGAN CHASE BANKN.A-MUMBAI,USD,20000000 ,75.66000 ,,30/11/2021,INR,N,<Default Format>,Seller,238.00,8
 210406013,06/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,10000000 ,73.34000 ,,08/04/2021,INR,N,<Default Format>,Seller,2.00,0
 210407001,07/04/2021,Apr,CANARA BANK-MUMBAI,USD,10000000 ,73.80000 ,OUTRIGHT,09/04/2021,INR,Y,"6,000.00 ",Seller,2.00,0
 210407002,07/04/2021,Apr,CREDIT SUISSE AG-MUMBAI,USD,100000000 ,73.80000 ,SHORT SWAP,08/04/2021,INR,N,"10,000.00 ",Seller,1.00,0
 210407003,07/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,100000000 ,73.80790 ,,09/04/2021,INR,N,<Default Format>,Seller,2.00,0
 210407004,07/04/2021,Apr,BANK OF AMERICA-MUMBAI,USD,10000000 ,73.83000 ,OUTRIGHT,09/04/2021,INR,Y,"10,000.00 ",Seller,2.00,0
 210407005,07/04/2021,Apr,AXIS BANK LTD.-MUMBAI,USD,6000000 ,74.01000 ,LONG SWAP,09/04/2021,INR,N,"3,000.00 ",Seller,2.00,0
 210407006,07/04/2021,Apr,INDIAN BANK-MUMBAI,USD,6000000 ,74.45000 ,LONG SWAP,28/05/2021,INR,Y,"2,400.00 ",Seller,51.00,2
 210407007,07/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,6000000 ,74.03000 ,,08/04/2021,INR,N,<Default Format>,Seller,1.00,0
 210407008,07/04/2021,Apr,INDIAN BANK-MUMBAI,USD,6000000 ,74.03750 ,OUTRIGHT,09/04/2021,INR,N,"4,800.00 ",Seller,2.00,0
 210407009,07/04/2021,Apr,AXIS BANK LTD.-MUMBAI,USD,20000000 ,74.03000 ,LONG SWAP,09/04/2021,INR,Y,"10,000.00 ",Seller,2.00,0
 210407010,07/04/2021,Apr,INDIAN BANK-MUMBAI,USD,20000000 ,76.11000 ,LONG SWAP,09/11/2021,INR,Y,"8,000.00 ",Seller,216.00,7
 210407011,07/04/2021,Apr,STANDARD CHARTERED BANK-MUMBAI,USD,25000000 ,74.06000 ,LONG SWAP,09/04/2021,INR,Y,"12,500.00 ",Seller,2.00,0
 210407012,07/04/2021,Apr,BANK OF INDIA-MUMBAI,USD,25000000 ,75.12000 ,LONG SWAP,30/07/2021,INR,Y,"11,250.00 ",Seller,114.00,4
 210407013,07/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,10000000 ,74.23500 ,LONG SWAP,09/04/2021,INR,Y,"5,000.00 ",Seller,2.00,0
 210407014,07/04/2021,Apr,IDFC FIRST BANK LIMITED-MUMBAI,USD,10000000 ,74.99500 ,LONG SWAP,30/06/2021,INR,Y,"5,000.00 ",Seller,84.00,3
 210407015,07/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,10000000 ,74.33000 ,LONG SWAP,09/04/2021,INR,N,"5,000.00 ",Seller,2.00,0
 210407016,07/04/2021,Apr,STANDARD CHARTERED BANK-MUMBAI,USD,10000000 ,76.89500 ,,31/12/2021,INR,N,<Default Format>,Seller,268.00,9
 210408001,08/04/2021,Apr,CREDIT SUISSE AG-MUMBAI,USD,25000000 ,74.20650 ,SHORT SWAP,09/04/2021,INR,Y,"2,500.00 ",Seller,1.00,0
 210408002,08/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,25000000 ,74.23000 ,SHORT SWAP,12/04/2021,INR,Y,"2,500.00 ",Seller,4.00,0
 210408003,08/04/2021,Apr,INDIAN BANK-MUMBAI,USD,5000000 ,74.33750 ,LONG SWAP,09/04/2021,INR,Y,"2,000.00 ",Seller,1.00,0
 210408004,08/04/2021,Apr,STATE BANK OF INDIA-MUMBAI,USD,5000000 ,74.60500 ,LONG SWAP,10/05/2021,INR,Y,"2,250.00 ",Seller,32.00,1
 210408005,08/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,5000000 ,74.48000 ,,12/04/2021,INR,N,<Default Format>,Seller,4.00,0
 210408006,08/04/2021,Apr,BARCLAYS BANK-MUMBAI,USD,25000000 ,74.78000 ,,12/04/2021,INR,N,<Default Format>,Seller,4.00,0
 210408007,08/04/2021,Apr,SUMITOMO MITSUI BANKING COPRORATION-NEW DELHI,USD,25000000 ,75.17500 ,LONG SWAP,28/05/2021,INR,N,"11,250.00 ",Seller,50.00,2
 210409001,09/04/2021,Apr,CREDIT SUISSE AG-MUMBAI,USD,100000000 ,74.56200 ,SHORT SWAP,12/04/2021,INR,N,"10,000.00 ",Seller,3.00,0
 210409002,09/04/2021,Apr,AXIS BANK LTD.-MUMBAI,USD,100000000 ,74.58500 ,,15/04/2021,INR,N,<Default Format>,Seller,6.00,0
 210409003,09/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,10000000 ,74.60000 ,,15/04/2021,INR,N,<Default Format>,Seller,6.00,0
 210409004,09/04/2021,Apr,PUNJAB NATIONAL BANK-MUMBAI,USD,10000000 ,76.41500 ,LONG SWAP,29/10/2021,INR,N,"4,500.00 ",Seller,203.00,7
 210409005,09/04/2021,Apr,STANDARD CHARTERED BANK-MUMBAI,USD,3000000 ,74.81000 ,LONG SWAP,15/04/2021,INR,Y,"1,500.00 ",Seller,6.00,0
 210409006,09/04/2021,Apr,FEDERAL BANK-MUMBAI,USD,3000000 ,77.22000 ,LONG SWAP,31/12/2021,INR,Y,"1,875.00 ",Seller,266.00,9
 210409007,09/04/2021,Apr,STANDARD CHARTERED BANK-MUMBAI,USD,7000000 ,74.80500 ,SHORT SWAP,12/04/2021,INR,Y,525.00 ,Seller,3.00,0
 210409008,09/04/2021,Apr,INDIAN BANK-MUMBAI,USD,7000000 ,74.82750 ,,15/04/2021,INR,N,<Default Format>,Seller,6.00,0
 210409009,09/04/2021,Apr,STANDARD CHARTERED BANK-MUMBAI,USD,7000000 ,74.80000 ,LONG SWAP,15/04/2021,INR,N,"3,500.00 ",Seller,6.00,0
 210409010,09/04/2021,Apr,INDIAN BANK-MUMBAI,USD,7000000 ,75.45000 ,LONG SWAP,29/06/2021,INR,Y,"2,800.00 ",Seller,81.00,3
 210409011,09/04/2021,Apr,RBL BANK LIMITED-MUMBAI,USD,7000000 ,75.46000 ,SHORT SWAP,30/06/2021,INR,Y,525.00 ,Seller,82.00,3
 210409012,09/04/2021,Apr,HONGKONG & SHANGHAI BANKING CORPORATION-MUMBAI,USD,100000000 ,74.74700 ,,12/04/2021,INR,N,<Default Format>,Seller,3.00,0
 210409013,09/04/2021,Apr,DEUTSCHE BANK-MUMBAI,USD,100000000 ,74.77000 ,SHORT SWAP,15/04/2021,INR,N,"7,500.00 ",Seller,6.00,0
 210412001,12/04/2021,Apr,CREDIT SUISSE AG-MUMBAI,USD,25000000 ,75.08000 ,SHORT SWAP,15/04/2021,INR,Y,"2,500.00 ",Seller,3.00,0
 210412002,12/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,25000000 ,75.08820 ,SHORT SWAP,16/04/2021,INR,Y,"2,500.00 ",Seller,4.00,0
 210412003,12/04/2021,Apr,CREDIT SUISSE AG-MUMBAI,USD,25000000 ,75.08000 ,SHORT SWAP,15/04/2021,INR,Y,"2,500.00 ",Seller,3.00,0
 210412004,12/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,25000000 ,75.08820 ,SHORT SWAP,16/04/2021,INR,Y,"2,500.00 ",Seller,4.00,0
 210412005,12/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,10000000 ,74.97000 ,,16/04/2021,INR,N,<Default Format>,Seller,4.00,0
 210412006,12/04/2021,Apr,PUNJAB NATIONAL BANK-MUMBAI,USD,10000000 ,78.26500 ,LONG SWAP,31/03/2022,INR,N,"4,500.00 ",Seller,353.00,12
 210412007,12/04/2021,Apr,BANK OF AMERICA-MUMBAI,USD,25000000 ,74.91000 ,,16/04/2021,INR,N,<Default Format>,Seller,4.00,0
 210412008,12/04/2021,Apr,CANARA BANK-MUMBAI,USD,25000000 ,75.03000 ,LONG SWAP,30/04/2021,INR,N,"7,500.00 ",Seller,18.00,1
 210412009,12/04/2021,Apr,CREDIT SUISSE AG-MUMBAI,USD,100000000 ,74.82000 ,SHORT SWAP,15/04/2021,INR,Y,"10,000.00 ",Seller,3.00,0
 210412010,12/04/2021,Apr,UNION BANK OF INDIA-MUMBAI,USD,100000000 ,74.82850 ,SHORT SWAP,16/04/2021,INR,Y,"5,000.00 ",Seller,4.00,0
 210412011,12/04/2021,Apr,CREDIT SUISSE AG-MUMBAI,USD,100000000 ,74.82000 ,SHORT SWAP,15/04/2021,INR,Y,"10,000.00 ",Seller,3.00,0
 210412012,12/04/2021,Apr,BANK OF INDIA-MUMBAI,USD,100000000 ,74.82850 ,SHORT SWAP,16/04/2021,INR,Y,"7,500.00 ",Seller,4.00,0
 210412013,12/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,10000000 ,74.90000 ,,16/04/2021,INR,N,<Default Format>,Seller,4.00,0
 210412014,12/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,10000000 ,76.45000 ,LONG SWAP,30/09/2021,INR,N,"5,000.00 ",Seller,171.00,6
 210412015,12/04/2021,Apr,BARCLAYS BANK-MUMBAI,USD,20000000 ,74.90000 ,,16/04/2021,INR,N,<Default Format>,Seller,4.00,0
 210412016,12/04/2021,Apr,BANK OF BARODA-MUMBAI,USD,20000000 ,75.28000 ,LONG SWAP,28/05/2021,INR,N,"7,500.00 ",Seller,46.00,2
 210412017,12/04/2021,Apr,CITIBANK-MUMBAI,USD,10000000 ,74.93500 ,LONG SWAP,16/04/2021,INR,Y,"5,000.00 ",Seller,4.00,0
 210412018,12/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,10000000 ,75.31600 ,,28/05/2021,INR,N,<Default Format>,Seller,46.00,2
 210412019,12/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,10000000 ,75.91000 ,LONG SWAP,30/07/2021,INR,N,"5,000.00 ",Seller,109.00,4
 210412020,12/04/2021,Apr,STANDARD CHARTERED BANK-MUMBAI,USD,10000000 ,74.98000 ,LONG SWAP,16/04/2021,INR,N,"5,000.00 ",Seller,4.00,0
 210412021,12/04/2021,Apr,AXIS BANK LTD.-MUMBAI,USD,10000000 ,78.29500 ,,31/03/2022,INR,N,<Default Format>,Seller,353.00,12
 210415001,15/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,10000000 ,75.22000 ,,19/04/2021,INR,N,<Default Format>,Seller,4.00,0
 210415002,15/04/2021,Apr,INDIAN BANK-MUMBAI,USD,10000000 ,78.56000 ,LONG SWAP,31/03/2022,INR,N,"4,000.00 ",Seller,350.00,12
 210415003,15/04/2021,Apr,BANK OF AMERICA-MUMBAI,USD,20000000 ,75.18000 ,LONG SWAP,19/04/2021,INR,Y,"10,000.00 ",Seller,4.00,0
 210415004,15/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,20000000 ,75.28850 ,LONG SWAP,30/04/2021,INR,Y,"10,000.00 ",Seller,15.00,1
 210415005,15/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,5000000 ,75.12000 ,,19/04/2021,INR,N,<Default Format>,Seller,4.00,0
 210415006,15/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,5000000 ,77.57500 ,LONG SWAP,31/12/2021,INR,N,"2,500.00 ",Seller,260.00,9
 210415007,15/04/2021,Apr,HDFC BANK LTD.-MUMBAI,USD,25000000 ,76.60000 ,LONG SWAP,30/09/2021,INR,Y,"9,375.00 ",Seller,168.00,6
 210415008,15/04/2021,Apr,AXIS BANK LTD.-MUMBAI,USD,25000000 ,76.89750 ,LONG SWAP,29/10/2021,INR,Y,"12,500.00 ",Seller,197.00,7
 210415009,15/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,25000000 ,75.02000 ,,19/04/2021,INR,N,<Default Format>,Seller,4.00,0
 210415010,15/04/2021,Apr,PUNJAB NATIONAL BANK-MUMBAI,USD,25000000 ,76.02500 ,LONG SWAP,30/07/2021,INR,N,"11,250.00 ",Seller,106.00,4
 210415011,15/04/2021,Apr,PUNJAB NATIONAL BANK-MUMBAI,USD,10000000 ,74.98000 ,LONG SWAP,19/04/2021,INR,N,"4,500.00 ",Seller,4.00,0
 210415012,15/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,10000000 ,75.98000 ,,30/07/2021,INR,N,<Default Format>,Seller,106.00,4
 210415013,15/04/2021,Apr,STANDARD CHARTERED BANK-MUMBAI,USD,5000000 ,74.93000 ,LONG SWAP,19/04/2021,INR,Y,"2,500.00 ",Seller,4.00,0
 210415014,15/04/2021,Apr,UNION BANK OF INDIA-MUMBAI,USD,5000000 ,77.93000 ,LONG SWAP,28/02/2022,INR,Y,"1,750.00 ",Seller,319.00,11
 210416001,16/04/2021,Apr,BARCLAYS BANK-MUMBAI,USD,25000000 ,74.64000 ,,20/04/2021,INR,N,<Default Format>,Seller,4.00,0
 210416002,16/04/2021,Apr,UNION BANK OF INDIA-MUMBAI,USD,25000000 ,74.95000 ,LONG SWAP,20/05/2021,INR,N,"6,250.00 ",Seller,34.00,1
 210416003,16/04/2021,Apr,BARCLAYS BANK-MUMBAI,USD,20000000 ,74.61000 ,,20/04/2021,INR,N,<Default Format>,Seller,4.00,0
 210416004,16/04/2021,Apr,PUNJAB NATIONAL BANK-MUMBAI,USD,20000000 ,75.61000 ,LONG SWAP,30/07/2021,INR,N,"9,000.00 ",Seller,105.00,4
 210416005,16/04/2021,Apr,CITIBANK-MUMBAI,USD,25000000 ,74.51000 ,,20/04/2021,INR,N,<Default Format>,Seller,4.00,0
 210416006,16/04/2021,Apr,BANK OF BARODA-MUMBAI,USD,25000000 ,74.82250 ,LONG SWAP,20/05/2021,INR,N,"9,375.00 ",Seller,34.00,1
 210416007,16/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,10000000 ,74.54000 ,LONG SWAP,20/04/2021,INR,Y,"5,000.00 ",Seller,4.00,0
 210416008,16/04/2021,Apr,AXIS BANK LTD.-MUMBAI,USD,10000000 ,74.93750 ,LONG SWAP,28/05/2021,INR,Y,"5,000.00 ",Seller,42.00,1
 210416009,16/04/2021,Apr,PUNJAB NATIONAL BANK-MUMBAI,USD,10000000 ,74.36000 ,LONG SWAP,20/04/2021,INR,N,"4,500.00 ",Seller,4.00,0
 210416010,16/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,10000000 ,77.69000 ,,31/03/2022,INR,N,<Default Format>,Seller,349.00,12
 210419001,19/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,100000000 ,74.97000 ,,20/04/2021,INR,N,<Default Format>,Seller,1.00,0
 210419002,19/04/2021,Apr,CANARA BANK-MUMBAI,USD,100000000 ,74.99350 ,SHORT SWAP,22/04/2021,INR,N,"7,500.00 ",Seller,3.00,0
 210419003,19/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,100000000 ,74.97000 ,,20/04/2021,INR,N,<Default Format>,Seller,1.00,0
 210419004,19/04/2021,Apr,CANARA BANK-MUMBAI,USD,100000000 ,74.99350 ,SHORT SWAP,22/04/2021,INR,N,"7,500.00 ",Seller,3.00,0
 210419005,19/04/2021,Apr,CREDIT SUISSE AG-MUMBAI,USD,25000000 ,74.96000 ,SHORT SWAP,20/04/2021,INR,Y,"2,500.00 ",Seller,1.00,0
 210419006,19/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,25000000 ,74.98270 ,SHORT SWAP,22/04/2021,INR,Y,"2,500.00 ",Seller,3.00,0
 210419007,19/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,15000000 ,74.91000 ,,22/04/2021,INR,N,<Default Format>,Seller,3.00,0
 210419008,19/04/2021,Apr,PUNJAB NATIONAL BANK-MUMBAI,USD,15000000 ,78.20750 ,LONG SWAP,31/03/2022,INR,N,"6,750.00 ",Seller,346.00,12
 210420001,20/04/2021,Apr,RBL BANK LIMITED-MUMBAI,USD,5000000 ,74.74100 ,LONG SWAP,22/04/2021,INR,Y,"2,375.00 ",Seller,2.00,0
 210420002,20/04/2021,Apr,STANDARD CHARTERED BANK-MUMBAI,USD,5000000 ,74.71000 ,LONG SWAP,23/04/2021,INR,Y,"2,500.00 ",Seller,3.00,0
 210420003,20/04/2021,Apr,INDIAN BANK-MUMBAI,USD,5000000 ,75.37100 ,LONG SWAP,29/06/2021,INR,Y,"2,000.00 ",Seller,70.00,2
 210420004,20/04/2021,Apr,INDIAN BANK-MUMBAI,USD,5000000 ,77.66050 ,LONG SWAP,28/02/2022,INR,Y,"2,000.00 ",Seller,314.00,10
 210420005,20/04/2021,Apr,INDIAN BANK-MUMBAI,USD,5000000 ,74.74500 ,,23/04/2021,INR,N,<Default Format>,Seller,3.00,0
 210420006,20/04/2021,Apr,RBL BANK LIMITED-MUMBAI,USD,5000000 ,77.65900 ,LONG SWAP,28/02/2022,INR,N,"2,375.00 ",Seller,314.00,10
 210420007,20/04/2021,Apr,STATE BANK OF INDIA-MUMBAI,USD,100000000 ,74.73500 ,LONG SWAP,23/04/2021,INR,N,"45,000.00 ",Seller,3.00,0
 210420008,20/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,100000000 ,75.69500 ,,30/07/2021,INR,N,<Default Format>,Seller,101.00,3
 210422001,22/04/2021,Apr,AXIS BANK LTD.-MUMBAI,USD,20000000 ,75.02000 ,LONG SWAP,26/04/2021,INR,Y,"10,000.00 ",Seller,4.00,0
 210422002,22/04/2021,Apr,PUNJAB NATIONAL BANK-MUMBAI,USD,20000000 ,75.33750 ,LONG SWAP,28/05/2021,INR,Y,"4,000.00 ",Seller,36.00,1
 210422003,22/04/2021,Apr,BARCLAYS BANK-MUMBAI,USD,10000000 ,75.00000 ,,26/04/2021,INR,N,<Default Format>,Seller,4.00,0
 210422004,22/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,10000000 ,75.06700 ,SHORT SWAP,03/05/2021,INR,N,"1,000.00 ",Seller,11.00,0
 210422005,22/04/2021,Apr,BARCLAYS BANK-MUMBAI,USD,25000000 ,74.98000 ,,30/04/2021,INR,N,<Default Format>,Seller,8.00,0
 210422006,22/04/2021,Apr,BANK OF BARODA-MUMBAI,USD,25000000 ,75.58000 ,LONG SWAP,30/06/2021,INR,N,"9,375.00 ",Seller,69.00,2
 210422007,22/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,10000000 ,74.93000 ,LONG SWAP,26/04/2021,INR,Y,"5,000.00 ",Seller,4.00,0
 210422008,22/04/2021,Apr,BANK OF INDIA-MUMBAI,USD,10000000 ,75.87000 ,LONG SWAP,30/07/2021,INR,Y,"4,500.00 ",Seller,99.00,3
 210422009,22/04/2021,Apr,CREDIT SUISSE AG-MUMBAI,USD,90000000 ,75.01100 ,SHORT SWAP,23/04/2021,INR,Y,"9,000.00 ",Seller,1.00,0
 210422010,22/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,90000000 ,75.04000 ,SHORT SWAP,26/04/2021,INR,Y,"9,000.00 ",Seller,4.00,0
 210422011,22/04/2021,Apr,CREDIT SUISSE AG-MUMBAI,USD,85000000 ,75.01100 ,SHORT SWAP,23/04/2021,INR,Y,"8,500.00 ",Seller,1.00,0
 210422012,22/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,85000000 ,75.04000 ,SHORT SWAP,26/04/2021,INR,Y,"8,500.00 ",Seller,4.00,0
 210422014,22/04/2021,Apr,UNION BANK OF INDIA-MUMBAI,USD,5000000 ,75.00250 ,OUTRIGHT,26/04/2021,INR,Y,"3,750.00 ",Seller,4.00,0
 210422015,22/04/2021,Apr,INDIAN BANK-MUMBAI,USD,5000000 ,75.00000 ,OUTRIGHT,26/04/2021,INR,Y,"4,000.00 ",Seller,4.00,0
 210422016,22/04/2021,Apr,INDIAN BANK-MUMBAI,USD,5000000 ,75.58750 ,LONG SWAP,29/06/2021,INR,N,"2,000.00 ",Seller,68.00,2
 210423001,23/04/2021,Apr,YES BANK LIMITED-MUMBAI,USD,2000000 ,74.91000 ,OUTRIGHT,27/04/2021,INR,Y,"2,000.00 ",Seller,4.00,0
 210423002,23/04/2021,Apr,PUNJAB NATIONAL BANK-MUMBAI,USD,15000000 ,74.92000 ,LONG SWAP,27/04/2021,INR,Y,"6,750.00 ",Seller,4.00,0
 210423003,23/04/2021,Apr,YES BANK LIMITED-MUMBAI,USD,15000000 ,78.17250 ,LONG SWAP,31/03/2022,INR,Y,"7,500.00 ",Seller,342.00,11
 210423004,23/04/2021,Apr,STANDARD CHARTERED BANK-MUMBAI,USD,10000000 ,74.93000 ,LONG SWAP,26/04/2021,INR,Y,"5,000.00 ",Seller,3.00,0
 210423005,23/04/2021,Apr,UNION BANK OF INDIA-MUMBAI,USD,10000000 ,75.24500 ,LONG SWAP,25/05/2021,INR,Y,"2,500.00 ",Seller,32.00,1
 210423006,23/04/2021,Apr,STANDARD CHARTERED BANK-MUMBAI,USD,5000000 ,74.92500 ,LONG SWAP,27/04/2021,INR,Y,"2,500.00 ",Seller,4.00,0
 210423007,23/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,5000000 ,77.32000 ,LONG SWAP,31/12/2021,INR,Y,"2,500.00 ",Seller,252.00,8
 210423008,23/04/2021,Apr,SOUTH INDIAN BANK-MUMBAI,USD,1000000 ,74.99000 ,LONG SWAP,27/04/2021,INR,Y,625.00 ,Seller,4.00,0
 210423009,23/04/2021,Apr,FEDERAL BANK-MUMBAI,USD,1000000 ,76.24500 ,LONG SWAP,31/08/2021,INR,Y,625.00 ,Seller,130.00,4
 210423010,23/04/2021,Apr,STANDARD CHARTERED BANK-MUMBAI,USD,1000000 ,74.99000 ,LONG SWAP,27/04/2021,INR,Y,500.00 ,Seller,4.00,0
 210423011,23/04/2021,Apr,FEDERAL BANK-MUMBAI,USD,1000000 ,78.54750 ,LONG SWAP,27/04/2022,INR,Y,625.00 ,Seller,369.00,12
 210423012,23/04/2021,Apr,CREDIT AGRICOLE C.I.B.-MUMBAI,USD,10000000 ,75.04000 ,,27/04/2021,INR,N,<Default Format>,Seller,4.00,0
 210423014,23/04/2021,Apr,PUNJAB NATIONAL BANK-MUMBAI,USD,10000000 ,75.03250 ,LONG SWAP,27/04/2021,INR,Y,"4,500.00 ",Seller,4.00,0
 210423015,23/04/2021,Apr,INDIAN BANK-MUMBAI,USD,10000000 ,75.03000 ,LONG SWAP,27/04/2021,INR,N,<Default Format>,Seller,4.00,0
 210423016,23/04/2021,Apr,INDIAN BANK-MUMBAI,USD,10000000 ,76.06250 ,LONG SWAP,10/08/2021,INR,N,"4,000.00 ",Seller,109.00,4
 210423017,23/04/2021,Apr,INDIAN BANK-MUMBAI,USD,10000000 ,78.25750 ,,31/03/2022,INR,N,<Default Format>,Seller,342.00,11
 210423018,23/04/2021,Apr,PUNJAB NATIONAL BANK-MUMBAI,USD,10000000 ,78.25900 ,LONG SWAP,31/03/2022,INR,N,"4,500.00 ",Seller,342.00,11
 210423020,23/04/2021,Apr,PUNJAB NATIONAL BANK-MUMBAI,USD,5000000 ,75.03250 ,LONG SWAP,27/04/2021,INR,Y,"2,250.00 ",Seller,4.00,0
 210423021,23/04/2021,Apr,INDIAN BANK-MUMBAI,USD,5000000 ,75.03000 ,,27/04/2021,INR,N,<Default Format>,Seller,4.00,0
 210423022,23/04/2021,Apr,INDIAN BANK-MUMBAI,USD,5000000 ,76.06250 ,LONG SWAP,10/08/2021,INR,N,"2,000.00 ",Seller,109.00,4
 210423023,23/04/2021,Apr,INDIAN BANK-MUMBAI,USD,5000000 ,78.25750 ,,31/03/2022,INR,N,<Default Format>,Seller,342.00,11
 210423024,23/04/2021,Apr,PUNJAB NATIONAL BANK-MUMBAI,USD,5000000 ,78.25900 ,LONG SWAP,31/03/2022,INR,N,"2,250.00 ",Seller,342.00,11
 210426001,26/04/2021,Apr,INDUSIND BANK-MUMBAI,USD,15000000 ,74.72000 ,LONG SWAP,28/04/2021,INR,Y,"7,500.00 ",Seller,2.00,0
 210426002,26/04/2021,Apr,JPMORGAN CHASE BANKN.A-MUMBAI,USD,15000000 ,75.38250 ,LONG SWAP,30/06/2021,INR,Y,"6,375.00 ",Seller,65.00,2
 210426003,26/04/2021,Apr,CITIBANK-MUMBAI,USD,10000000 ,74.72000 ,,28/04/2021,INR,N,<Default Format>,Seller,2.00,0
 210426004,26/04/2021,Apr,JPMORGAN CHASE BANKN.A-MUMBAI,USD,10000000 ,75.38250 ,LONG SWAP,30/06/2021,INR,N,"4,250.00 ",Seller,65.00,2
